#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Tomato yellow leaf curl Thailand betasatellite	693897	PRJNA14450	14450	Satellites	unclassified	1.337	37.3	plants	1	1	1	2003/06/17	2013/08/14	Complete Genome
Guinea pig Chlamydia phage	90963	PRJNA14012	14012	ssDNA viruses	Microviridae	4.529	41	bacteria	1	9	9	1999/01/02	2016/01/30	Complete Genome
Potato yellow mosaic Panama virus	223307	PRJNA14013	14013	ssDNA viruses	Geminiviridae	5.126	42.766	plants	2	7	7	1997/10/09	2015/10/20	Complete Genome
Sulfolobus spindle-shaped virus 1	244589	PRJNA14014	14014	dsDNA viruses, no RNA stage	Fuselloviridae	15.465	39.7	archaea	1	33	32	1988/07/16	2009/04/22	Complete Genome
Enterobacteria phage phiX174 sensu lato	374840	PRJNA14015	14015	ssDNA viruses	Microviridae	5.386	44.8	bacteria	1	11	11	1989/09/15	2015/02/10	Complete Genome
Bovine polyomavirus	10627	PRJNA14017	14017	dsDNA viruses, no RNA stage	Polyomaviridae	4.697	41.4	vertebrates	1	6	6	1993/04/29	2015/02/10	Complete Genome
Ictalurid herpesvirus 1	10401	PRJNA14018	14018	dsDNA viruses, no RNA stage	Alloherpesviridae	134.226	56.2	vertebrates	1	90	90	1993/08/02	2013/08/29	Complete Genome
Minute virus of mice	10794	PRJNA14019	14019	ssDNA viruses	Parvoviridae	5.149	42.1	vertebrates	1	3	7	1993/08/02	2016/03/28	Complete Genome
Bovine parvovirus	10784	PRJNA14020	14020	ssDNA viruses	Parvoviridae	5.517	48.8	vertebrates	1	4	4	1993/08/03	2009/11/30	Complete Genome
Arabis mosaic virus small satellite RNA	196399	PRJNA14021	14021	Satellites	unclassified	0.3	53	plants	1	-	-	1993/08/03	2008/07/10	Complete Genome
Iotapapillomavirus 1	10567	PRJNA14022	14022	dsDNA viruses, no RNA stage	Papillomaviridae	7.687	50.2	vertebrates	1	6	6	1993/12/23	2010/03/26	Complete Genome
Simian virus 40	10633	PRJNA14024	14024	dsDNA viruses, no RNA stage	Polyomaviridae	5.243	40.8	vertebrates, human	1	8	7	1993/08/03	2011/03/09	Complete Genome
Human papillomavirus type 48	40538	PRJNA14027	14027	dsDNA viruses, no RNA stage	Papillomaviridae	7.1	36.8	vertebrates	1	7	7	1995/10/17	2012/07/20	Complete Genome
Human papillomavirus type 60	40540	PRJNA14028	14028	dsDNA viruses, no RNA stage	Papillomaviridae	7.313	37	vertebrates	1	7	7	1995/10/18	2012/07/20	Complete Genome
Lactococcus phage c2	31537	PRJNA14029	14029	dsDNA viruses, no RNA stage	Siphoviridae	22.172	36.3	bacteria	1	41	39	1996/01/03	2015/02/10	Complete Genome
Adeno-associated virus - 4	57579	PRJNA14030	14030	ssDNA viruses	Parvoviridae	4.767	57.4	vertebrates	1	2	2	1997/08/21	2010/01/28	Complete Genome
Petunia vein clearing virus	59504	PRJNA14031	14031	Retro-transcribing viruses	Caulimoviridae	7.206	38.2	plants	1	1	1	1997/10/03	2009/11/30	Complete Genome
Spiroplasma phage SVTS2	93224	PRJNA14032	14032	ssDNA viruses	Inoviridae	6.825	22.7	bacteria	1	13	13	1999/12/16	2015/02/10	Complete Genome
Bacillus phage SPbeta	66797	PRJNA14034	14034	dsDNA viruses, no RNA stage	Siphoviridae	134.416	34.6	bacteria	1	185	185	1998/04/06	2015/02/10	Complete Genome
Enterobacteria phage P2	10679	PRJNA14035	14035	dsDNA viruses, no RNA stage	Myoviridae	33.593	50.2	bacteria	1	43	43	1998/05/19	2010/03/26	Complete Genome
Diatraea saccharalis densovirus	72003	PRJNA14036	14036	ssDNA viruses	Parvoviridae	5.941	35.5	invertebrates	1	7	7	1998/06/02	2010/03/11	Complete Genome
Bean dwarf mosaic virus	10838	PRJNA14037	14037	ssDNA viruses	Geminiviridae	5.191	44.606	plants	2	6	6	1992/03/16	2009/05/06	Complete Genome
Squash leaf curl virus	10829	PRJNA14038	14038	ssDNA viruses	Geminiviridae	5.241	44.0539	plants	2	6	6	1992/06/15	2010/09/14	Complete Genome
Enterobacteria phage If1	10868	PRJNA14039	14039	ssDNA viruses	Inoviridae	8.454	43.7	bacteria	1	10	10	1993/10/01	2015/02/10	Complete Genome
Ateline herpesvirus 3	85618	PRJNA14040	14040	dsDNA viruses, no RNA stage	Herpesviridae	108.409	36.6	vertebrates	1	73	71	1998/12/16	2013/03/13	Complete Genome
Melanoplus sanguinipes entomopoxvirus	83191	PRJNA14042	14042	dsDNA viruses, no RNA stage	Poxviridae	236.12	18.3	invertebrates	1	267	267	1998/12/22	2010/03/26	Complete Genome
Enterobacteria phage T4	10665	PRJNA14044	14044	dsDNA viruses, no RNA stage	Myoviridae	168.903	35.3	bacteria	1	288	278	1999/07/05	2014/10/30	Complete Genome
Streptococcus phage Sfi19	72638	PRJNA14045	14045	dsDNA viruses, no RNA stage	Siphoviridae	37.37	38.3	bacteria	1	45	45	1999/07/18	2015/02/10	Complete Genome
Pepper leaf curl virus	83839	PRJNA14046	14046	ssDNA viruses	Geminiviridae	2.744	43.5	plants	1	6	6	1999/08/02	2008/12/08	Complete Genome
Enterobacteria phage HK022	10742	PRJNA14048	14048	dsDNA viruses, no RNA stage	Siphoviridae	40.751	49.5	bacteria	1	57	57	2000/02/04	2009/05/06	Complete Genome
Streptococcus phage 7201	112023	PRJNA14051	14051	dsDNA viruses, no RNA stage	Siphoviridae	35.466	38.7	bacteria	1	46	46	2000/03/16	2015/02/14	Complete Genome
Fowlpox virus	10261	PRJNA14052	14052	dsDNA viruses, no RNA stage	Poxviridae	288.539	30.9	vertebrates	1	260	261	2000/03/21	2012/11/22	Complete Genome
Porcine circovirus 1	133704	PRJNA14053	14053	ssDNA viruses	Circoviridae	1.758	48.4	vertebrates	1	2	2	1998/09/09	2010/08/25	Complete Genome
Streptococcus phage Sfi11	78541	PRJNA14054	14054	dsDNA viruses, no RNA stage	Siphoviridae	39.807	38.6	bacteria	1	53	53	2000/04/07	2015/02/10	Complete Genome
Porcine parvovirus	10796	PRJNA14055	14055	ssDNA viruses	Parvoviridae	5.075	37.9	vertebrates	1	3	6	1993/08/22	2015/02/10	Complete Genome
Cassava vein mosaic virus	38062	PRJNA14056	14056	Retro-transcribing viruses	Caulimoviridae	8.159	24.9	plants	1	5	5	1996/07/02	2015/02/10	Complete Genome
Kappapapillomavirus 1	122291	PRJNA14057	14057	dsDNA viruses, no RNA stage	Papillomaviridae	7.565	44.4	vertebrates	1	9	9	2000/05/02	2010/03/26	Complete Genome
Torque teno mini virus 9	687377	PRJNA14058	14058	ssDNA viruses	Anelloviridae	2.915	38.3	vertebrates, human	1	3	3	2000/04/04	2010/04/28	Complete Genome
Pepper huasteco yellow vein virus	223303	PRJNA14059	14059	ssDNA viruses	Geminiviridae	5.22	41.7129	plants	2	7	7	1993/02/17	2015/10/20	Complete Genome
Adeno-associated virus - 2	10804	PRJNA14060	14060	ssDNA viruses	Parvoviridae	4.679	53.8	vertebrates, human	1	11	9	1993/04/27	2014/12/02	Complete Genome
Pseudomonas phage Pf3	10872	PRJNA14061	14061	ssDNA viruses	Inoviridae	5.833	45.4	bacteria	1	9	9	1993/04/28	2015/02/10	Complete Genome
Enterobacteria phage PRD1	10658	PRJNA14062	14062	dsDNA viruses, no RNA stage	Tectiviridae	14.927	48.1	bacteria	1	31	31	1993/04/28	2015/02/10	Complete Genome
Chlamydia phage 1	10857	PRJNA14064	14064	ssDNA viruses	Microviridae	4.877	36.5	bacteria	1	12	12	1993/04/28	2015/02/10	Complete Genome
Potato yellow mosaic virus	10827	PRJNA14065	14065	ssDNA viruses	Geminiviridae	5.14	43.3125	plants	2	6	6	1993/04/29	2008/12/08	Complete Genome
Chloris striate mosaic virus	10820	PRJNA14068	14068	ssDNA viruses	Geminiviridae	2.75	53.6	plants	1	4	5	1993/08/02	2015/02/10	Complete Genome
Digitaria streak virus	10837	PRJNA14069	14069	ssDNA viruses	Geminiviridae	2.701	49.7	plants	1	4	4	1992/03/23	2008/07/10	Complete Genome
Ground squirrel hepatitis virus	10406	PRJNA14070	14070	Retro-transcribing viruses	Hepadnaviridae	3.311	43.4	vertebrates	1	4	4	1993/08/02	2009/11/30	Complete Genome
Murine pneumotropic virus	229278	PRJNA14071	14071	dsDNA viruses, no RNA stage	Polyomaviridae	4.754	40.9	vertebrates	1	5	5	1993/02/26	2010/03/26	Complete Genome
Tomato golden mosaic virus	10831	PRJNA14072	14072	ssDNA viruses	Geminiviridae	5.096	41.7235	plants	2	7	7	1987/02/16	2015/02/10	Complete Genome
Deltapapillomavirus 2	10564	PRJNA14073	14073	dsDNA viruses, no RNA stage	Papillomaviridae	8.374	47.5	vertebrates	1	9	9	1993/08/02	2015/02/10	Complete Genome
BK polyomavirus	10629	PRJNA14074	14074	dsDNA viruses, no RNA stage	Polyomaviridae	5.153	39.5	vertebrates, human	1	6	6	1982/11/03	2015/02/10	Complete Genome
Kappapapillomavirus 2	10623	PRJNA14075	14075	dsDNA viruses, no RNA stage	Papillomaviridae	7.868	46.4	vertebrates	1	10	10	1987/08/31	2015/02/10	Complete Genome
Panicum streak virus	10826	PRJNA14076	14076	ssDNA viruses	Geminiviridae	2.705	53.4	plants	1	3	3	1995/02/11	2008/12/08	Complete Genome
Aleutian mink disease virus	28314	PRJNA14077	14077	ssDNA viruses	Parvoviridae	4.801	38.6	vertebrates	1	4	4	1993/08/02	2013/02/22	Complete Genome
Haemophilus phage HP1	10690	PRJNA14078	14078	dsDNA viruses, no RNA stage	Myoviridae	32.355	40	bacteria	1	42	42	1995/10/31	2015/02/10	Complete Genome
Tomato mottle virus	10835	PRJNA14079	14079	ssDNA viruses	Geminiviridae	5.145	42.9672	plants	2	6	6	1993/04/28	2008/12/08	Complete Genome
Lymphocystis disease virus 1	36363	PRJNA14081	14081	dsDNA viruses, no RNA stage	Iridoviridae	102.653	29.1	vertebrates	1	110	110	1997/07/24	2015/02/10	Complete Genome
Tomato mottle Taino virus	223358	PRJNA14082	14082	ssDNA viruses	Geminiviridae	5.159	44.0605	plants	2	10	6	1997/08/09	2008/07/10	Complete Genome
Sida golden mosaic virus	51034	PRJNA14083	14083	ssDNA viruses	Geminiviridae	5.227	46.7022	plants	2	7	7	1998/01/06	2016/03/24	Complete Genome
Orgyia pseudotsugata multiple nucleopolyhedrovirus	262177	PRJNA14084	14084	dsDNA viruses, no RNA stage	Baculoviridae	131.995	55.1	invertebrates	1	152	152	1997/03/27	2010/10/01	Complete Genome
Enterobacteria phage N15	40631	PRJNA14086	14086	dsDNA viruses, no RNA stage	Siphoviridae	46.375	51.2	bacteria	1	60	60	1998/06/07	2009/05/06	Complete Genome
Vibrio phage fs2	83201	PRJNA14088	14088	ssDNA viruses	Inoviridae	8.651	44.5	bacteria	1	9	9	1998/10/06	2015/02/10	Complete Genome
Bombyx mori nucleopolyhedrovirus	271108	PRJNA14089	14089	dsDNA viruses, no RNA stage	Baculoviridae	128.413	40.4	invertebrates	1	143	143	1996/01/18	2016/03/23	Complete Genome
Human parvovirus B19	10798	PRJNA14090	14090	ssDNA viruses	Parvoviridae	5.596	43.8	vertebrates, human	1	6	6	1999/08/02	2015/02/10	Complete Genome
Periplaneta fuliginosa densovirus	97344	PRJNA14091	14091	ssDNA viruses	Parvoviridae	5.454	38.1	invertebrates	1	8	8	1999/10/27	2015/02/10	Complete Genome
Xestia c-nigrum granulovirus	51677	PRJNA14092	14092	dsDNA viruses, no RNA stage	Baculoviridae	178.733	40.7	invertebrates	1	181	181	1999/11/02	2010/03/11	Complete Genome
Vibrio phage VfO3K6	127507	PRJNA14093	14093	ssDNA viruses	Inoviridae	8.784	45.2	bacteria	1	10	10	2000/06/03	2009/04/17	Complete Genome
Vibrio phage VfO4K68	127508	PRJNA14094	14094	ssDNA viruses	Inoviridae	6.891	47.2	bacteria	1	8	8	2000/06/03	2009/04/17	Complete Genome
Cotton leaf curl Gezira virus	222459	PRJNA14095	14095	ssDNA viruses	Geminiviridae	2.764	44.4	plants	1	6	6	1999/06/10	2008/12/08	Complete Genome
Amsacta moorei entomopoxvirus 'L'	28321	PRJNA14097	14097	dsDNA viruses, no RNA stage	Poxviridae	232.392	17.8	invertebrates	1	294	294	2000/08/30	2010/11/23	Complete Genome
Goose parvovirus	38251	PRJNA14098	14098	ssDNA viruses	Parvoviridae	5.106	46.9	vertebrates	1	4	4	1995/12/12	2010/01/28	Complete Genome
Alcelaphine herpesvirus 1	35252	PRJNA14099	14099	dsDNA viruses, no RNA stage	Herpesviridae	130.608	46.2	vertebrates	1	71	71	1997/08/21	2015/02/10	Complete Genome
Horseradish curly top virus	46448	PRJNA14100	14100	ssDNA viruses	Geminiviridae	3.08	41.1	plants	1	6	6	1996/04/04	2010/04/28	Complete Genome
Tomato rugose mosaic virus	134599	PRJNA14101	14101	ssDNA viruses	Geminiviridae	5.194	41.3289	plants	2	7	7	2000/09/25	2007/05/04	Complete Genome
Trichoplusia ni cypovirus 15	134606	PRJNA14102	14102	dsRNA viruses	Reoviridae	25.12	36.4019	invertebrates	11	1	1	2000/08/14	2008/07/10	Complete Genome
Gallid herpesvirus 3	35250	PRJNA14103	14103	dsDNA viruses, no RNA stage	Herpesviridae	164.27	53.6	vertebrates	1	76	76	2000/10/12	2010/11/20	Complete Genome
Plutella xylostella granulovirus	98383	PRJNA14104	14104	dsDNA viruses, no RNA stage	Baculoviridae	100.999	40.7	invertebrates	1	121	120	2000/10/29	2009/11/30	Complete Genome
Enterobacteria phage Mu	10677	PRJNA14105	14105	dsDNA viruses, no RNA stage	Myoviridae	36.717	52.1	bacteria	1	55	55	1999/10/05	2009/05/06	Complete Genome
Meleagrid herpesvirus 1	37108	PRJNA14106	14106	dsDNA viruses, no RNA stage	Herpesviridae	159.16	47.6	vertebrates	1	79	79	2001/01/04	2010/04/23	Complete Genome
Bdellovibrio phage phiMH2K	145579	PRJNA14107	14107	ssDNA viruses	Microviridae	4.594	46.1	bacteria	1	11	11	2001/01/03	2009/05/06	Complete Genome
Mycobacterium phage Bxb1	148603	PRJNA14109	14109	dsDNA viruses, no RNA stage	Siphoviridae	50.55	63.6	bacteria	1	86	86	2001/01/28	2015/02/10	Complete Genome
Bovine herpesvirus 4	10385	PRJNA14110	14110	dsDNA viruses, no RNA stage	Herpesviridae	108.873	41.4	vertebrates	1	79	79	2001/02/14	2013/03/13	Complete Genome
Lactococcus phage bIL285	151535	PRJNA14111	14111	dsDNA viruses, no RNA stage	Siphoviridae	35.538	35.2	bacteria	1	62	62	2001/02/15	2007/12/20	Complete Genome
Lactococcus phage bIL310	151538	PRJNA14112	14112	dsDNA viruses, no RNA stage	Siphoviridae	14.957	35.9	bacteria	1	29	29	2001/02/15	2015/02/10	Complete Genome
Lactococcus phage bIL312	151539	PRJNA14113	14113	dsDNA viruses, no RNA stage	Siphoviridae	15.179	33	bacteria	1	27	27	2001/02/15	2015/02/10	Complete Genome
Ectocarpus siliculosus virus 1	37665	PRJNA14114	14114	dsDNA viruses, no RNA stage	Phycodnaviridae	335.593	51.7	algae	1	240	240	2001/02/27	2015/02/10	Complete Genome
Salmonella phage HK620	155148	PRJNA14115	14115	dsDNA viruses, no RNA stage	Podoviridae	38.297	46.7	bacteria	1	58	58	2001/04/03	2009/05/06	Complete Genome
