#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Acinetobacter bereziniae	3	Acinetobacter bereziniae LMG 1003	NZ_AIEI00000000	AIEI00000000			Default			
Acinetobacter bouvetii	2	Acinetobacter bouvetii DSM 14964 = CIP 107468	NZ_AREL00000000	AREL00000000			Default			
Acinetobacter brisouii	2	Acinetobacter brisouii ANC 4119	NZ_APPR00000000	APPR00000000			Default			
Acinetobacter calcoaceticus	11	Acinetobacter calcoaceticus PHEA-2	NC_016603	CP002177			COM		21441526	
Acinetobacter gerneri	2	Acinetobacter gerneri DSM 14967 = CIP 107464	NZ_APPN00000000	APPN00000000			Default			
Acinetobacter guillouiae	3	Acinetobacter guillouiae CIP 63.46	NZ_APOS00000000	APOS00000000			Default			
Acinetobacter gyllenbergii	3	Acinetobacter gyllenbergii CIP 110306	NZ_ATGG00000000	ATGG00000000			Default			
Acinetobacter haemolyticus	7	Acinetobacter haemolyticus ATCC 19194	NZ_ADMT00000000	ADMT00000000			Default			
Acinetobacter indicus	2	Acinetobacter indicus ANC 4215	NZ_ATGH00000000	ATGH00000000			Default			
Acinetobacter johnsonii	5	Acinetobacter johnsonii SH046	NZ_ACPL00000000	ACPL00000000			Default			
Acinetobacter junii	6	Acinetobacter junii SH205	NZ_ACPM00000000	ACPM00000000			Default			
Acinetobacter lwoffii	9	Acinetobacter lwoffii			NC_019268 ... (3)	JQ001791 ... (3)	Default			
Acinetobacter lwoffii	9	Acinetobacter lwoffii SH145	NZ_ACPN00000000	ACPN00000000			Default			
Acinetobacter nectaris	1	Acinetobacter nectaris CIP 110549	NZ_AYER00000000	AYER00000000			Default			
Acinetobacter oleivorans	2	Acinetobacter oleivorans DR1	NC_014259	CP002080			COM		20639327	
Acinetobacter parvus	3	Acinetobacter parvus DSM 16617 = CIP 108168	NZ_AIEB00000000	AIEB00000000			Default			
Acinetobacter radioresistens	8	Acinetobacter radioresistens SH164	NZ_ACPO00000000	ACPO00000000			Default			
Acinetobacter rudis	1	Acinetobacter rudis CIP 110305	NZ_ATGI00000000	ATGI00000000			Default			
Acinetobacter schindleri	3	Acinetobacter schindleri TG19614	NZ_AMJK00000000	AMJK00000000			Default			
Acinetobacter soli	3	Acinetobacter soli CIP 110264	NZ_APPU00000000	APPU00000000			Default			
Acinetobacter	59	Acinetobacter sp. ADP1	NC_005966	CR543861			COM		15514110	
Acinetobacter nosocomialis	9	Acinetobacter sp. RUH2624	NZ_ACQF00000000	ACQF00000000			Default			
Acinetobacter pittii	10	Acinetobacter sp. SH024	NZ_ADCH00000000	ADCH00000000			Default			
Acinetobacter tandoii	1	Acinetobacter tandoii DSM 14970 = CIP 107469					Default			
Acinetobacter tjernbergiae	2	Acinetobacter tjernbergiae DSM 14971 = CIP 107465	NZ_ARFU00000000	ARFU00000000			Default			
Acinetobacter towneri	1	Acinetobacter towneri DSM 14962 = CIP 107472	NZ_APPY00000000	APPY00000000			Default			
Acinetobacter ursingii	4	Acinetobacter ursingii DSM 16037 = CIP 107286	NZ_AIEA00000000	AIEA00000000			Default			
	0	Acinetobacter venetianus					Default			
Actinoalloteichus spitiensis	1	Actinoalloteichus spitiensis RMV-1378	NZ_AGVX00000000	AGVX00000000			Default			
Actinobacillus capsulatus	1	Actinobacillus capsulatus DSM 19761	NZ_ARFN00000000	ARFN00000000			Default			
Actinobacillus minor	2	Actinobacillus minor 202	NZ_ACFT00000000	ACFT00000000			Default			
Actinobacillus pleuropneumoniae	16	Actinobacillus pleuropneumoniae serovar 5b str. L20	NC_009053	CP000569			COM		18065534	
	0	Actinobacillus porcitonsillarum					Default			
Actinobacillus succinogenes	1	Actinobacillus succinogenes 130Z	NC_009655	CP000746			COM			
Actinobacillus suis	1	Actinobacillus suis H91-0380	NC_018690	CP003875			Default		23144422	
Actinobacillus ureae	1	Actinobacillus ureae ATCC 25976	NZ_AEVG00000000	AEVG00000000			Default			
Actinobaculum massiliense	1	Actinobaculum massiliae ACS-171-V-Col2	NZ_AGWL00000000	AGWL00000000			Default			
Actinobaculum schaalii	2	Actinobaculum schaalii FB123-CNA-2	NZ_AGWM00000000	AGWM00000000			Default			
Actinobaculum	1	Actinobaculum sp. oral taxon 183 str. F0552	NZ_AWSB00000000	AWSB00000000			Default			
Actinobaculum urinale	1	Actinobaculum urinale DSM 15805	NZ_ATUY00000000	ATUY00000000			Default			
Actinokineospora enzanensis	1	Actinokineospora enzanensis DSM 44649	NZ_ARFV00000000	ARFV00000000			Default			
Actinomadura atramentaria	1	Actinomadura atramentaria DSM 43919	NZ_ARMS00000000	ARMS00000000			Default			
Actinomadura flavalba	1	Actinomadura flavalba DSM 45200	NZ_ARFO00000000	ARFO00000000			Default			
	0	Actinomadura madurae LIID-AJ290		AWOO00000000			Default			
Actinomyces cardiffensis	1	Actinomyces cardiffensis F0333	NZ_AQHZ00000000	AQHZ00000000			Default			
Actinomyces coleocanis	1	Actinomyces coleocanis DSM 15436	NZ_ACFG00000000	ACFG00000000			Default			
Actinomyces europaeus	1	Actinomyces europaeus ACS-120-V-Col10b	NZ_AGWN00000000	AGWN00000000			Default			
Actinomyces georgiae	2	Actinomyces georgiae F0490	NZ_AKFS00000000	AKFS00000000			Default			
Actinomyces graevenitzii	2	Actinomyces graevenitzii C83	NZ_ACRN00000000	ACRN00000000			Default			
Actinomyces johnsonii	2	Actinomyces johnsonii F0510	NZ_AWSD00000000	AWSD00000000			Default			
Actinomyces massiliensis	2	Actinomyces massiliensis F0489	NZ_AKFT00000000	AKFT00000000			Default			
Actinomyces naeslundii	1	Actinomyces naeslundii str. Howell 279	NZ_ALJK00000000	ALJK00000000			Default			
Actinomyces neuii	2	Actinomyces neuii BVS029A5	NZ_AGWP00000000	AGWP00000000			Default			
Actinomyces odontolyticus	3	Actinomyces odontolyticus F0309	NZ_ACYT00000000	ACYT00000000			Default			
Actinomyces oris	1	Actinomyces oris K20	NZ_BABV00000000	BABV00000000			Default			
Actinomyces	17	Actinomyces sp. oral taxon 848 str. F0332	NZ_ACUY00000000	ACUY00000000			Default			
Actinomyces timonensis	1	Actinomyces timonensis DSM 23838	NZ_AKGF00000000	AKGF00000000			Default			
Actinomyces turicensis	1	Actinomyces turicensis ACS-279-V-Col4	NZ_AGWQ00000000	AGWQ00000000			Default			
Actinomyces urogenitalis	2	Actinomyces urogenitalis DSM 15434	NZ_ACFH00000000	ACFH00000000			Default			
Actinomyces vaccimaxillae	1	Actinomyces vaccimaxillae DSM 15804	NZ_ATUX00000000	ATUX00000000			Default			
Actinomyces viscosus	1	Actinomyces viscosus C505	NZ_ACRE00000000	ACRE00000000			Default			
Actinomycetospora chiangmaiensis	1	Actinomycetospora chiangmaiensis DSM 45062	NZ_ARBI00000000	ARBI00000000			Default			
Actinoplanes friuliensis	1	Actinoplanes friuliensis DSM 7358	NC_022657	CP006272			Default			
Actinoplanes globisporus	1	Actinoplanes globisporus DSM 43857	NZ_ARBJ00000000	ARBJ00000000			Default			
Actinoplanes missouriensis	1	Actinoplanes missouriensis 431	NC_017093	AP012319			Default			
Actinoplanes	2	Actinoplanes sp. SE50/110	NC_017803	CP003170			COM			
Actinopolymorpha alba	1	Actinopolymorpha alba DSM 45243	NZ_AREV00000000	AREV00000000			Default			
Actinopolyspora halophila	1	Actinopolyspora halophila DSM 43834	NZ_AQUI00000000	AQUI00000000			Default			
Actinopolyspora mortivallis	1	Actinopolyspora mortivallis DSM 44261	NZ_AQZN00000000	AQZN00000000			Default			
Actinosynnema mirum	1	Actinosynnema mirum DSM 43827	NC_013093	CP001630			COM/PRT		21304636	
Adlercreutzia equolifaciens	2	Adlercreutzia equolifaciens DSM 19450	NC_022567	AP013105			Default		24051320	
Advenella kashmirensis	2	Advenella kashmirensis W13003	NZ_AYXT00000000	AYXT00000000			Default			
Advenella kashmirensis	2	Advenella kashmirensis WT001	NC_017964	CP003555	NC_017965	CP003556	Default		21914874	
Aequorivita sublithincola	1	Aequorivita sublithincola DSM 14238	NC_018013	CP003280			Default			
Aerococcus urinae	1	Aerococcus urinae ACS-120-V-Col10a	NC_015278	CP002512			COM			
Aerococcus viridans	2	Aerococcus viridans ATCC 11563	NZ_ADNT00000000	ADNT00000000			Default			
Aeromicrobium marinum	1	Aeromicrobium marinum DSM 15272	NZ_ACLF00000000,NZ_CM001024	ACLF00000000,CM001024			Default			
	0	Aeromicrobium massiliense JC14					Default			
	0	Aeromonas bestiarum					Default			
	0	Aeromonas caviae					Default			
Aeromonas dhakensis	1	Aeromonas dhakensis AAK1	NZ_BAFL00000000	BAFL00000000	NC_019014	AP012343	Default			
Aeromonas diversa	1	Aeromonas diversa 2478-85	NZ_APVG00000000	APVG00000000			Default			
Aeromonas hydrophila	16	Aeromonas hydrophila subsp. hydrophila ATCC 7966	NC_008570	CP000462			COM		16980456	
Aeromonas media	1	Aeromonas media WS	NZ_ALJZ00000000	ALJZ00000000			Default			
Aeromonas molluscorum	1	Aeromonas molluscorum 848	NZ_AQGQ00000000	AQGQ00000000			Default			
Aeromonas salmonicida	4	Aeromonas salmonicida subsp. salmonicida A449	NC_009348	CP000644	NC_004923 ... (5)	AY301063 ... (5)	COM			
	0	Aeromonas sobria					Default			
Aeromonas	2	Aeromonas sp. 159	NZ_ALOT00000000	ALOT00000000			Default			
Aeromonas veronii	8	Aeromonas veronii B565	NC_015424	CP002607			COM		21551296	
Aeropyrum camini	1	Aeropyrum camini SY1 = JCM 12091	NC_022521	AP012489			Default		23872576	
Aeropyrum pernix	1	Aeropyrum pernix K1	NC_000854	BA000002			COM		10382966,16455681,16769697	
Aestuariimicrobium kwangyangense	1	Aestuariimicrobium kwangyangense DSM 21549	NZ_ATXE00000000	ATXE00000000			Default			
	0	Afipia birgiae 34632					Default			
Afipia broomeae	1	Afipia broomeae ATCC 49717	NZ_AGWX00000000	AGWX00000000			Default			
Afipia clevelandensis	1	Afipia clevelandensis ATCC 49720	NZ_AGWY00000000	AGWY00000000			Default			
Afipia felis	1	Afipia felis ATCC 53690	NZ_AGWZ00000000	AGWZ00000000			Default			
Afipia	11	Afipia sp. 1NLS2	NZ_ADVZ00000000	ADVZ00000000			Default			
Agarivorans albus	1	Agarivorans albus MKT 106	NZ_BARX00000000	BARX00000000			Default			
Aggregatibacter actinomycetemcomitans	20	Aggregatibacter actinomycetemcomitans D11S-1	NC_013416	CP001733	NC_013438 ... (2)	GQ866234 ... (2)	COM		19820097	
Aggregatibacter aphrophilus	3	Aggregatibacter aphrophilus NJ8700	NC_012913	CP001607			COM		19447908	
Aggregatibacter segnis	1	Aggregatibacter segnis ATCC 33393	NZ_AEPS00000000	AEPS00000000			Default			
Aggregatibacter sp.	2	Aggregatibacter sp. oral taxon 458 str. W10330	NZ_AWSH00000000	AWSH00000000			Default			
Agrobacterium albertimagni	1	Agrobacterium albertimagni AOL15	NZ_ALJF00000000	ALJF00000000			Default			
Agrobacterium fabrum	1	Agrobacterium fabrum str. C58	NC_003062,NC_003063	AE007869,AE007870	NC_003064 ... (2)	AE007871 ... (2)	FGS/UPR	Agrobacterium tumefaciens C58 is widely used in genetic transformation of plants. This strain has a reference proteome in UniProtKB database.	11743193,11743194	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:2
Agrobacterium tumefaciens	9	Agrobacterium radiobacter K84	NC_011983,NC_011985	CP000628,CP000629	NC_011987 ... (3)	CP000630 ... (3)	COM		19251847	
	0	Agrobacterium rhizogenes					Default			
Agrobacterium	5	Agrobacterium sp. H13-3	NC_015183,NC_015508	CP002248,CP002249	NC_015184	CP002250	COM		21329740	
Agrobacterium vitis	1	Agrobacterium vitis S4	NC_011988,NC_011989	CP000633,CP000634	NC_011981 ... (5)	CP000635 ... (5)	COM		19251847	
Agrococcus sp.	1	Agrococcus pavilionensis RW1	NZ_ASHR00000000	ASHR00000000			Default			
Agromyces italicus	1	Agromyces italicus DSM 16388	NZ_ATXF00000000	ATXF00000000			Default			
Agromyces subbeticus	1	Agromyces subbeticus DSM 16689	NZ_ATXG00000000	ATXG00000000			Default			
Ahrensia kielensis	1	Ahrensia kielensis DSM 5890	NZ_ARFW00000000	ARFW00000000			Default			
Ahrensia	1	Ahrensia sp. R2A130	NZ_AEEB00000000	AEEB00000000			Default			
Akkermansia muciniphila	1	Akkermansia muciniphila ATCC BAA-835	NC_010655	CP001071			COM			
Albidiferax ferrireducens	1	Albidiferax ferrireducens T118	NC_007908	CP000267	NC_007901	CP000268	COM			
Alcaligenes faecalis	2	Alcaligenes faecalis subsp. faecalis NCIB 8687	NZ_AKMR00000000	AKMR00000000			Default			
Alcaligenes	2	Alcaligenes sp. EGD-AK7	NZ_AVOG00000000	AVOG00000000			Default			
Alcaligenes	2	Alcaligenes sp. HPC1271	NZ_AMXV00000000	AMXV00000000			Default			
Alcanivorax borkumensis	1	Alcanivorax borkumensis SK2	NC_008260	AM286690			COM		16878126	
Alcanivorax dieselolei	1	Alcanivorax dieselolei B5	NC_018691	CP003466			Default		23144414	
Alcanivorax hongdengensis	1	Alcanivorax hongdengensis A-11-3	NZ_AMRJ00000000	AMRJ00000000			Default			
Alcanivorax	4	Alcanivorax sp. DG881	NZ_ABRW00000000	ABRW00000000			Default			
Algicola sagamiensis	1	Algicola sagamiensis DSM 14643	NZ_ARFX00000000	ARFX00000000			Default			
Algoriphagus	1	Algoriphagus machipongonensis	NZ_AAXU00000000,NZ_CM001023	AAXU00000000,CM001023			Default		21183675	
Alicycliphilus denitrificans	2	Alicycliphilus denitrificans BC	NC_014910	CP002449	NC_014908 ... (2)	CP002450 ... (2)	COM		21742888	
	0	Alicycliphilus sp. CRZ1					Default			
Alicyclobacillus acidocaldarius	3	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	NC_013205	CP001727	NC_013206 ... (3)	CP001728 ... (3)	COM		21304673	
Alicyclobacillus acidoterrestris	1	Alicyclobacillus acidoterrestris ATCC 49025	NZ_AURB00000000	AURB00000000			Default			
Alicyclobacillus hesperidum	1	Alicyclobacillus hesperidum URH17-3-68	NZ_AKZN00000000	AKZN00000000			Default			
Alicyclobacillus pohliae	1	Alicyclobacillus pohliae DSM 22757	NZ_AQXL00000000	AQXL00000000			Default			
Aliivibrio logei	2	Aliivibrio logei 5S-186	NZ_AJYJ00000000	AJYJ00000000			Default			
Aliivibrio salmonicida	1	Aliivibrio salmonicida LFI1238	NC_011312,NC_011313	FM178379,FM178380	NC_011311 ... (4)	FM178381 ... (4)	COM		19099551	
Alishewanella aestuarii	1	Alishewanella aestuarii B11	NZ_ALAB00000000	ALAB00000000			Default			
Alishewanella agri	1	Alishewanella agri BL06	NZ_AKKU00000000	AKKU00000000			Default			
Alishewanella jeotgali	1	Alishewanella jeotgali KCTC 22429	NZ_AHTH00000000	AHTH00000000			Default			
Alistipes finegoldii	1	Alistipes finegoldii DSM 17242	NC_018011	CP003274			Default			
Alistipes indistinctus	1	Alistipes indistinctus YIT 12060	NZ_ADLD00000000	ADLD00000000			Default			
Alistipes onderdonkii	1	Alistipes onderdonkii DSM 19147	NZ_ARFY00000000	ARFY00000000			Default			
Alistipes putredinis	1	Alistipes putredinis DSM 17216	NZ_ABFK00000000	ABFK00000000			Default			
Alistipes senegalensis	1	Alistipes senegalensis JC50	NZ_CAHI00000000	CAHI00000000			Default			
Alistipes shahii	2	Alistipes shahii WAL 8301	NC_021030	FP929032			Default			
Alistipes	5	Alistipes sp. HGB5	NZ_AENZ00000000	AENZ00000000			Default			
Alkalibacillus haloalkaliphilus	1	Alkalibacillus haloalkaliphilus C5	NZ_AKIF00000000	AKIF00000000			Default			
Alkalilimnicola ehrlichii	1	Alkalilimnicola ehrlichii MLHE-1	NC_008340	CP000453			COM			
Alkaliphilus metalliredigens	1	Alkaliphilus metalliredigens QYMF	NC_009633	CP000724			COM			
Alkaliphilus oremlandii	1	Alkaliphilus oremlandii OhILAs	NC_009922	CP000853			COM			
Allobaculum stercoricanis	1	Allobaculum stercoricanis DSM 13633	NZ_ARAE00000000	ARAE00000000			Default			
Allochromatium vinosum	1	Allochromatium vinosum DSM 180	NC_013851	CP001896	NC_013852 ... (2)	CP001897 ... (2)	COM		22675582	
Allofustis seminis	1	Allofustis seminis DSM 15817	NZ_ARFP00000000	ARFP00000000			Default			
Alloiococcus otitis	1	Alloiococcus otitis ATCC 51267	NZ_AGXA00000000	AGXA00000000			Default			
Alloprevotella rava	1	Alloprevotella rava F0323	NZ_ACZK00000000	ACZK00000000			Default			
Alloscardovia omnicolens	2	Alloscardovia omnicolens DSM 21503	NZ_ATVB00000000	ATVB00000000			Default			
alpha proteobacterium BAL199	1	alpha proteobacterium BAL199	NZ_ABHC00000000	ABHC00000000			Default			
alpha proteobacterium HIMB114	1	alpha proteobacterium HIMB114	NZ_ADAC00000000	ADAC00000000			Default			
alpha proteobacterium HIMB5	1	alpha proteobacterium HIMB5	NC_018643	CP003809			Default			
alpha proteobacterium HIMB59	1	alpha proteobacterium HIMB59	NC_018644	CP003801			Default			
Alteromonadales bacterium TW-7	1	Alteromonadales bacterium TW-7	NZ_AAVS00000000	AAVS00000000			Default			
Alteromonas macleodii	13	Alteromonas macleodii str. 'Deep ecotype'	NC_011138	CP001103			COM		18670397	
Alteromonas	3	Alteromonas sp. SN2	NC_015554	CP002339			COM		21705606	
Aminobacterium colombiense	1	Aminobacterium colombiense DSM 12261	NC_014011	CP001997			COM		21304712	
Aminomonas paucivorans	1	Aminomonas paucivorans DSM 12260	NZ_AEIV00000000,NZ_CM001022	AEIV00000000,CM001022			Default		21304733	
Ammonifex degensii	1	Ammonifex degensii KC4	NC_013385	CP001785	NC_013386	CP001786	COM			
Amorphus coralli	1	Amorphus coralli DSM 19760	NZ_ARFZ00000000	ARFZ00000000			Default			
Amphibacillus jilinensis	1	Amphibacillus jilinensis Y1	NZ_AMWI00000000	AMWI00000000			Default			
Amphibacillus xylanus	1	Amphibacillus xylanus NBRC 15112	NC_018704	AP012050			Default			
Amphritea japonica	1	Amphritea japonica ATCC BAA-1530	NZ_ARMN00000000	ARMN00000000			Default			
Amycolatopsis alba	1	Amycolatopsis alba DSM 44262	NZ_ARAF00000000	ARAF00000000			Default			
Amycolatopsis azurea	1	Amycolatopsis azurea DSM 43854	NZ_ANMG00000000	ANMG00000000			Default			
Amycolatopsis balhimycina	1	Amycolatopsis balhimycina FH 1894	NZ_ARBH00000000	ARBH00000000			Default			
	0	Amycolatopsis benzoatilytica					Default			
Amycolatopsis decaplanina	1	Amycolatopsis decaplanina DSM 44594	NZ_AOHO00000000	AOHO00000000			Default			
Amycolatopsis mediterranei	4	Amycolatopsis mediterranei U32	NC_014318	CP002000			FGS/MOD	This is the first Amycolatopsis mediterranei genome. Amycolatopsis mediterranei U32 is widely used in the idustrial production of rifamycin.	20567260	
Amycolatopsis methanolica	1	Amycolatopsis methanolica 239	NZ_AQUL00000000	AQUL00000000			Default			
Amycolatopsis nigrescens	1	Amycolatopsis nigrescens CSC17Ta-90	NZ_ARVW00000000	ARVW00000000			Default			
Amycolatopsis orientalis	4	Amycolatopsis orientalis DSM 40040 = KCTC 9412					Default			
Amycolatopsis orientalis	4	Amycolatopsis orientalis HCCB10007	NC_021252	CP003410	NC_023497	CP003411	Default		23627759	
Amycolatopsis	2	Amycolatopsis sp. ATCC 39116	NZ_AFWY00000000	AFWY00000000			Default			
Amycolatopsis vancoresmycina	1	Amycolatopsis vancoresmycina DSM 44592	NZ_AOUO00000000	AOUO00000000			Default			
Amycolicicoccus subflavus	1	Amycolicicoccus subflavus DQS3-9A1	NC_015564	CP002786	NC_015560 ... (2)	CP002787 ... (2)	COM		21725023	
Anabaena cylindrica	1	Anabaena cylindrica PCC 7122	NC_019771	CP003659	NC_019772 ... (6)	CP003660 ... (6)	Default			
Anabaena	2	Anabaena sp. 90	NC_019427,NC_019439	CP003284,CP003285	NC_019428 ... (3)	CP003286 ... (3)	Default		23148582	
Anabaena variabilis	1	Anabaena variabilis ATCC 29413	NC_007413,NC_014000	CP000117,CP000118	NC_007410 ... (3)	CP000119 ... (3)	COM/PRT			
Anaerobaculum hydrogeniformans	1	Anaerobaculum hydrogeniformans ATCC BAA-1850	NZ_ACJX00000000	ACJX00000000			Default			
Anaerobaculum mobile	1	Anaerobaculum mobile DSM 13181	NC_018024	CP003198			Default			
Anaerococcus hydrogenalis	2	Anaerococcus hydrogenalis DSM 7454	NZ_ABXA00000000	ABXA00000000			Default			
Anaerococcus lactolyticus	2	Anaerococcus lactolyticus ATCC 51172	NZ_ABYO00000000	ABYO00000000			Default			
Anaerococcus obesiensis	1	Anaerococcus obesiensis ph10	NZ_CAGV00000000	CAGV00000000			Default			
Anaerococcus prevotii	2	Anaerococcus prevotii DSM 20548	NC_013171	CP001708	NC_013164	CP001709	COM		21304652	
	0	Anaerococcus senegalensis JC48					Default			
Anaerococcus	5	Anaerococcus sp. PH9	NZ_CAGU00000000	CAGU00000000			Default			
Anaerococcus tetradius	1	Anaerococcus tetradius ATCC 35098	NZ_ACGC00000000	ACGC00000000			Default			
Anaerococcus vaginalis	1	Anaerococcus vaginalis ATCC 51170	NZ_ACXU00000000	ACXU00000000			Default			
Anaerofustis stercorihominis	1	Anaerofustis stercorihominis DSM 17244	NZ_ABIL00000000	ABIL00000000			Default			
Anaeroglobus geminatus	1	Anaeroglobus geminatus F0357	NZ_AGCJ00000000	AGCJ00000000			Default			
Anaerolinea thermophila	1	Anaerolinea thermophila UNI-1	NC_014960	AP012029			COM			
Anaeromusa acidaminophila	1	Anaeromusa acidaminophila DSM 3853	NZ_ARGA00000000	ARGA00000000			Default			
Anaeromyxobacter dehalogenans	2	Anaeromyxobacter dehalogenans 2CP-C	NC_007760	CP000251			COM			
Anaeromyxobacter	2	Anaeromyxobacter sp. Fw109-5	NC_009675	CP000769			COM			
Anaeromyxobacter	2	Anaeromyxobacter sp. K	NC_011145	CP001131			COM			
Anaerophaga thermohalophila	2	Anaerophaga thermohalophila DSM 12881	NZ_AEWI00000000	AEWI00000000			Default			
Anaerostipes caccae	1	Anaerostipes caccae DSM 14662	NZ_ABAX00000000	ABAX00000000			Default			
Anaerostipes hadrus	1	Anaerostipes hadrus DSM 3319	NZ_AMEY00000000	AMEY00000000			Default			
Anaerostipes	1	Anaerostipes sp. 3_2_56FAA	NZ_ACWB00000000	ACWB00000000			Default			
Anaerotruncus colihominis	1	Anaerotruncus colihominis DSM 17241	NZ_ABGD00000000	ABGD00000000			Default			
Anaerotruncus	1	Anaerotruncus sp. G3(2012)	NZ_ASTA00000000	ASTA00000000			Default			
Anaplasma centrale	1	Anaplasma centrale str. Israel	NC_013532	CP001759			COM		19854912	
